species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Albizia distachya,orthodox,,,,"seeds maintained for 8-10 years m commercial storage conditions (Priestley, 1986) Albizia falcataria (see Paraserianthes falcataria (L.) Nielsen) Albizia Jerrug"
Albizia guachapele,orthodox,,yes,,"seeds are maintained at BLSF Costa Rica, ESNACIFOR Honduras"
Albizia julibrissin,orthodox,,,41.7,"a few seeds germinate after 149 years in herbarium (Harrington, 1972); 90% germination after 5 years open storage at room temperature (Wick & Walters, 1974); vi"
Albizia lebbeck,orthodox,,,,"44% germination following 11 years open storage at room temperature (Ewart, 1908); a few seeds survive following 30 years in herbarium (Dent, 1942, 1948); viabi"
Albizia lucidor,orthodox,yes,,,"longevity is shortest among Albizia species in dry storage at room temperature (Dent, 1948)"
Albizia moluccana,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Albizia niopoides,orthodox,,,,"seeds are maintained at ESNACIFOR; long-term storage at UTA Genebank (Ng et aI., 1993)"
Albizia odoratissima,orthodox,,,,"a few seeds germinate after 27 years storage at room temperature (Dent, 1948); viability maintained for more than 3 years in hermetic storage at room temperatur"
Albizia polycephala,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Alcea pallida,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 97.5 to 98%, mean storage period 12 ye"
Alchemilla vestita,orthodox,yes,,,"(Grime et aL, 1981)"
Alchemilla xanthochlora,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP; germination change 82 to 65%, 13 years, 1 collection"
Alectryon excelsus,recalcitrant,,,,"(Fountain & Outred, 1991); moist storage at 2�-4�C recommended (Bergin & Dorsser, 1988)"
Alhagi camelorum,orthodox,,yes,,"92% germination after 5 years open storage at room temperature (Comes et al., 1978)"
Alhagi maurorum,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 11 years; germination change 82 to 100%, 10 years, 1 collection"
Alonsoa acutifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 9 years"
Alonsoa warscewiczii,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 2 years"
Alphitonia excelsa,orthodox,,,,"(Langkamp & Plaisted, 1987); 74% germination following 12 years open storage (Ewart, 1908)"
Alseodaphne owdenii,recalcitrant,yes,,,"short-lived in open storage at room temperature (Dent, 1948)"
