species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Althea hirsuta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Althea officinalis,orthodox,,,,"no loss in viability following 16 years storage at 40% r.h. and 4�C (Bass, 1980); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest coll"
Althea rosea,orthodox,,,,"33% germination following 9 years open storage at room temperature (Ewart, 1908); 37% germination following 10 years storage at room temperature (Harrington, 19"
Alysicarpus ovalifolius,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 2 years"
Amblygonocarpus andongensis,orthodox,,,500,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 3 years"
Amelanchier alnifolia,orthodox,,,,"hermetic air-dry storage at 5�C recommended (Brinkman, 1974a); 76% germination following 15 years open storage in a warehouse (Stevens et aL, 1981); viability m"
Amelanchier arborea,orthodox,yes,,,"(Crocker & Barton, 1931); hermetic air-dry storage at 5�C recommended (Brinkman, 1974a); viability maintained for 8 months in hermetic air-dry storage at 5�C (R"
Amelanchier denticulatum,orthodox,yes,,,"viability maintained for 8 months in hermetic air-dry storage at 5�C (Riley, 1981)"
Amelanchier florida,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Brinkman, 1974a)"
Amelanchier laevis,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Brinkman, 1974a)"
Amelanchier ovalis,orthodox,,,,"15% germination following 11 years air-dry storage at 40% r.h and 4�C (Widrlechner, 1990); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Ol"
Amelanchier sanguinea,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Brinkman, 1974a)"
Amelanchier utahensis,orthodox,,,,"67% germination following 15 years open storage in a warehouse (Stevens et aL, 1981)"
American elm,orthodox,,,6.3,"seeds tolerate desiccation to 2% me (Barton, 1939b, 1953); seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981); 7% viability lost after 3"
Ammi majus,orthodox,,,,"viability maintained after 8 years hermetic storage at -18�C (Montezuma-De-Carvalho et aL, 1984)"
Ammoides pusila,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Amomum subulatum,orthodox,yes,,,"seeds can be stored dry (Bhowmick & Chattopadhyay, 1960); no loss in viability after 79 days air-dry storage (Paudyal et ai, 1993)"
Amomyrtus luma,orthodox,yes,,,"(Ramirez et al., 1980)"
Amorpha californica,orthodox,yes,,,"hermetic air-dry storage at cool temperatures recommended (Brinkman, 1974b)"
Amorpha canescens,orthodox,,yes,,"little loss in viability for seeds stored for 22 months at SoC followed by 16 months at room temperature (Brinkman, 1974b)"
Amorpha fructicosa,orthodox,,yes,,"no loss in viability following 3-5 years storage at room temperature (Brinkman, 1974b)"
Amorpha nana,orthodox,yes,,,"hermetic air-dry storage at cool temperatures recommended (Brinkman, 1974b)"
Amphimas pterocarpoides,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Anadenanthera colubrina,orthodox,,yes,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991)"
Anadenanthera macrocarpa,orthodox,,,,seeds tolerated desiccation to me in equilibrium with 15% r.h.
Anadenanthera peregrina,orthodox,,,,seeds tolerated desiccation to mc in equilibrium with 15% r.h.
Anagallis arvensis,orthodox,,,,"48% germination after 11 years storage at room temperature (Hanelt, 1977)"
Anagallis tenella,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Anarrhinum bellidifolium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 6 years"
Anarrhinum laxijlorum,orthodox,,,,"57% germination after 6-7 years storage at room temperature (Garcia & Duran, 1989); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest co"
Anemone coronaria,orthodox,,yes,,"seeds maintained for 3 years in commercial storage conditions (Priestley, 1986)"
Anemone multifida,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; average germination change 91 to 100%, mean storage period 15 yea"
Anemone nemorosa,orthodox,,yes,,"3% germination following 3 years open storage (Ewart, 1908)"
Anemone rivularis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 24 years; average germination change 91 to 82.5%, mean storage period 18 ye"
Anemone rupicola,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 7 years"
Anemone virginiana,orthodox,,,,"dry seeds (me not reported) surVive overnight in liquid nitrogen (Pence, 1991a)"
Anemone vitifolia,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 2 years"
Anethum graveolens,orthodox,,yes,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986)"
Angelica archangelica,orthodox,,,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest col"
Angelica sylvestris,orthodox,,,,"(Grime et al., 1981); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 8 years"
Angophora coststa,orthodox,yes,,,"hermetic air-dry storage (Langkamp & Plaisted, 1987)"
Angophora floribunda,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Aniba rosaeodora,recalcitrant,,,,"(Dr I.D. Kossmann Ferraz, pers. com.)"
Anoda crenatiflora,orthodox,,,,"27% germination following 41 years storage in paper bags at room temperature (Crocker, 1938)"
Anoda wrightii,orthodox,,,,"20% germination following 42 years storage in paper bags at room temperature (Crocker, 1938)"
Anthocephalus chinensis,orthodox,,,0.5,"(D.B. Krishnapillay, pers. com.); seeds can be stored dry (Dent, 1948); viability maintained for 1 year in hermetic storage at room temperature with 13�2% mc (K"
Anthonotha macrophylla,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Anthospermum rigidum,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Anthriscus caucalis,orthodox,,,,"viability maintained after 8 years hermetic storage at -18�C (Montezuma-De-Carvalho et aL, 1984); long-term storage under IPGRI preferred conditions at RBG Kew,"
Anthriscus cerefolium,orthodox,,yes,,"viability is halved following 2-3 years open storage (Ewart, 1908); pso '= 3.4 years for seeds stored under open storage in a temperate climate (Priestley, 1986"
Anthriscus sylvestris,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years"
Anthyllis henoniana,orthodox,,yes,,"22% germination after 6-7 years storage at room temperature (Garcia & Duran, 1989)"
Anthyllis lotoides,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 98 to 100%, 12 years, 1 collection"
Anthyllis terniflora,orthodox,yes,,,"(Garcia & Duran, 1989)"
Anthyllis vulneraria,orthodox,,,,"a few seeds survive after 90 years in herbarium (Turner, 1933); P5() = 9.24 years for seeds under open storage in a temperate climate (Priestley, 1986); longter"
Antiaris africana,recalcitrant,yes,,570,"viability cannot be maintained more than 3 months even at cool temperatures (Shehaghilo, pers. com.)"
Antigonon leptopus,orthodox,,yes,,"9% germination following 8 years open storage (Ewart, 1908)"
Antirrhinum charidemi,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Antirrhinum hispanicum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 12 years; germination change 81 to 94%, 11 years, 1 collection"
Antirrhinum majus,orthodox,,,,"no loss in viability following 14 years storage at 40% r.h. and 4�C (Bass, 1980); seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981); vi"
Antirrhinum meonanthum,orthodox,,,,"24% germination after 4 years storage at -17�C (Caixinhas et aL,1993)"
Antirrhinum orontium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 24 years; average germination change 100 to 96%, mean storage period 17 yea"
Antirrhinum siculum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; germination change 89 to 100%, 12 years, 1 collection"
Aphanamixis grandijlora,recalcitrant,yes,,,"short-lived in storage (Doai Van Nguyen, pers. com.)"
Aphanamixis polystachya,recalcitrant,yes,,,"short-lived (Mensa & Acosta, 1990); viability is lost within 1 month in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Aphanes arvensis,orthodox,,,,"germination increases from 0% before storage to 48% after 1 year hermetic air-dry storage at 5�C (Grime et al., 1981); viability maintained after 8 years hermet"
Apium graveolens,orthodox,,,,"viability is halved following 8 years open storage (Ewart, 1908); seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981); seeds can be maint"
Apium prostratum,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at RBG Kew, WP. Oldest collection 2 years"
Apuleia leiocarpa,orthodox,yes,,,"72% germination after 1 year open storage at room temperature (Reis et aL, 1980)"
Aquilaria agallocha,recalcitrant,yes,,,"seeds not capable of long storage (Dent, 1948)"
Aquilegia atrata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Aquilegia caerulea,orthodox,,yes,,"viability is halved after 4-5 years storage under laboratory conditions (Priestley, 1986)"
Aquilegia canadensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 6 years"
Aquilegia einseleana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Aquilegia flavescens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 6 years"
Aquilegia formosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; average germination change 96 to 94%, mean storage period 12 year"
Aquilegia hybrid,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 88 to 86%, 11 years, 1 collection"
Aquilegia nevadensis,orthodox,,,,"50% germination after 6--7 years storage at room temperature (Garcia & Duran, 1989); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest c"
Aquilegia olympica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Aquilegia vulgaris,orthodox,,,,"viability is halved after 5 years storage under laboratory conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Olde"
Arachis hypogaea,orthodox,,,,"seeds are safely stored in liquid nitrogen (Stanwood & Bass, 1981); no problem for long-term storage under IPGRI preferred conditions (SSLR); seeds"
Archangelica officinalis,orthodox,yes,,,"viability is halved following 1-2 years open storage (Ewart, 1908)"
Archontophoenix cunninghamiana,intermediate,yes,,,"seeds survived desiccation to 8.7% me, none survived after 6 months' storage at 3�C, or 21 �C with 8.7% and 13% me (Figliolia, 1988)"
Areca palm,recalcitrant,,,400,"complete loss in viability after 1 month's moist storage at 3�_5�C, 2 months at 30�C (Sento, 1972); MCS = 51 %, LSMC = 43%, unfreezable water content = 42%, no "
Arenga pinnata,recalcitrant,yes,,,"short-lived, 25% survive 3 months open storage (Masano, 1990)"
Argania spinosa,orthodox,,,,"(H.W. Pritchard, pers. com.)"
Argyrocytisus battandieri,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 27 years; germination change 86 to 80%, 17 years, 1 collection"
Aristea angolensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Aristea compressa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 85 to 80%,12 years, 1 collection"
Aristea ensifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 94 to 98%, 14 years, 1 collection"
Aristea woodii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Armeria juncea,orthodox,yes,,,"viability is halved after 2 years storage under laboratory conditions (Priestley, 1986)"
Armeria maritima,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 100 to 100%, 14 years, 1 collection"
Armeria pseudameria,orthodox,,yes,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986)"
Armeria pungens,orthodox,,,,"48% germination after 4 years storage at -17�C (Caixinhas et aL,1993)"
Armeria transmontana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP; germination change 26 to 50%, 11 years, 1 collection"
Armeria villosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Artocarpus altilis,recalcitrant,,,,"(Anon., 1993); short-lived (Purseglove, 1968; Mensa & Acosta, 1990); seeds should not be allowed to dry out (Purseglove, 1968)"
Artocarpus blancoi,recalcitrant,,,,"(Anon., 1993)"
Artocarpus chaplasha,recalcitrant,yes,,590,"seeds cannot be stored (Dent, 1948); viability is lost within 1 month in hermetic storage at room temperature with 13�2% me (Kaul, 1979)"
Artocarpus communis,recalcitrant,,,,"seeds should not be allowed to dry out, and should be stored moist at 20�C (Riley, 1981)"
Artocarpus hirsuta,recalcitrant,yes,,715,"viability is maintained for 3 months in open storage at room temperature, after which time viability is rapidly lost (Dent, 1948); viability is lost within 6 mo"
Artocarpus hypargyrea,recalcitrant,,,,"seeds should not be allowed to dry out, and should be stored moist at 20�C (Riley, 1981); short-lived (Mensa & Acosta, 1990)"
Artocarpus incisa,recalcitrant,yes,,,"short-lived (Mensa & Acosta, 1990)"
Artocarpus integer,recalcitrant,,,,"LSMC = 43.2%, ELSMC = 37.9%, no whole seeds and excised embryoes remain viable when the mean seed and embryo moisture content is reduced to 30.2% and 25.7%, res"
Artocarpus integrifolia,recalcitrant,,,,"seeds cannot be stored long (Dent, 1948); viability is lost within 1 month in hermetic storage at room temperature with 13�2% me (Kaul, 1979); seeds should not "
Artocarpus kamansi,recalcitrant,,,,"(Anon., 1993)"
Artocarpus lakoocha,recalcitrant,yes,,,"viability maintained for 1 month in open storage at room temperature (Campbell, 1980); viability is lost within 1 month in hermetic storage at room temperature "
Artocarpus nitidus,recalcitrant,,,,"(Anon., 1993)"
Artocarpus odoratissima,recalcitrant,,,,"(Anon., 1993)"
Artocarpus ovatus,recalcitrant,,,,"(Anon., 1993)"
Artocarpus rubrovenius,recalcitrant,,,,"(Anon., 1993)"
Artocarpus sericicarpus,recalcitrant,,,,"(Anon., 1993)"
Aruncus sylvester,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 6 years"
Arundina graminifolia,orthodox,,,,">75% germination after 2 months hermetic storage at -lOoC with pre-dried seeds (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Asperula cynanchica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, """"'P. Oldest collection 6 years"
Asperula orientalis,orthodox,,yes,,"viability is halved after >3 years storage under laboratory conditions (Priestley, 1986)"
Asteromyrtus lysicephala,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
